Mohit Hosiery (Production),,,,,,,,,,,,,,,,,,,,
Fabric JW Status,,,,,,,,,,,,,,,,,,,,
Report Date: 21/Jan/25 - 6:03:53 PM,,,,,,,,,,,,,,,,,,,,
Party,Item Name,Lot No,Issue No,Issue Date,Issue Shade,Rect Shade,Remarks,Op Qty,Issue Qty,Receipt Qty,Shortage,Short Per,Balance,Op Rolls,Issue Rolls,Rect Rolls,Grey Rolls,Balance Rolls,Std Short Per,Std Shortage
ARORA BROTHER CREATIONS,SHIRT,76075,1316,15-Jul-26,WHITE,,,"1,038.00",,,,,"1,038.00",12,,,,12,,
ARORA BROTHER CREATIONS,SHIRT,76038,1205,17-Apr-26,GREY,,,651.00,,,,,651.00,6,,,,6,,
AVON COTTEX,KORA TAPE,MH-4332,1187,27-Mar-26,KHAKHI,,,30.10,,,,,30.10,4,,,,4,,
AVON COTTEX,KORA TAPE,MH-4335,1187,27-Mar-26,NAVY,,,28.20,,,,,28.20,2,,,,2,,
AVON COTTEX,KORA TAPE,MH-4337,1187,27-Mar-26,WHITE,,,29.00,,,,,29.00,2,,,,2,,
AVON COTTEX,KORA TAPE,MH-4344,1187,27-Mar-26,ROYAL,,,8.30,,,,,8.30,1,,,,1,,
AVON COTTEX,KORA TAPE,MH-4347,1187,27-Mar-26,BLACK,,,42.65,,,,,42.65,5,,,,5,,
AVON COTTEX,FABRIC MH LYCRA MATTY,MH-4373,1200,10-Apr-26,OLIVE,,,500.80,,,,,500.80,20,,,,20,,
AVON COTTEX,FABRIC MH LYCRA SINKER,MH-4230,1164,6-Mar-26,BLUE,,,507.60,,,,,507.60,20,,,,20,,
AVON COTTEX,KORA TAPE,MH-4331,1187,27-Mar-26,BLACK,,,14.1,,,,,14.1,1,,,,1,,
AVON COTTEX,KORA COLLAR,MH-4338,1187,27-Mar-26,NAVY,,,18.40,,,,,18.40,1,,,,1,,
AVON COTTEX,KORA TAPE,MH-4343,1187,27-Mar-26,WHITE,,,8.45,,,,,8.45,2,,,,2,,
AVON COTTEX,KORA COLLAR,MH-4346,1187,27-Mar-26,CREAM,,,10.65,,,,,10.65,3,,,,3,,
AVON COTTEX,KORA TAPE,MH-4348,1187,27-Mar-26,NAVY,,,25.20,,,,,25.20,3,,,,3,,
AVON COTTEX,FABRIC MH PLAIN PIQUE NON-LYCRA,MH-1393,511,27-Nov-23,D NAVY,D NAVY,MERCERISE 20645,22.75,,,,,22.75,1,,,,1,,
AVON COTTEX,COLLAR,MH-4375,1211,22-Apr-26,CK TONE,,,37.10,,,,,37.10,2,,,,2,,
AVON COTTEX,RIB 1/1,MH-4232,1164,6-Mar-26,NAVY,,,25.65,,,,,25.65,1,,,,1,,
AVON COTTEX,KORA COLLAR,MH-4328,1187,27-Mar-26,OFF WHITE,,,33.95,,,,,33.95,4,,,,4,,
AVON COTTEX,KORA COLLAR,MH-4329,1187,27-Mar-26,RED,,,17.00,,,,,17.00,1,,,,1,,
AVON COTTEX,KORA COLLAR,MH-4332,1187,27-Mar-26,KHAKHI,,,34,,,,,34,4,,,,4,,
AVON COTTEX,KORA TAPE,MH-4342,1187,27-Mar-26,RED,,,45.25,,,,,45.25,6,,,,6,,
AVON COTTEX,COLLAR,MH-1396,562,10-Jan-24,,,,48.05,,,,,48.05,4,,,,4,,
AVON COTTEX,TAPE,MH-1396,562,10-Jan-24,,,,36.50,,,,,36.50,4,,,,4,,
AVON COTTEX,FABRIC 50S CTN INTERLOCK,259354C,1034,29-Oct-25,GREY,GREY,,12.20,,,,,12.20,,,,,,,
AVON COTTEX,FABRIC MH LYCRA SINKER,MH-4318,1171,12-Mar-26,RUST,,,522.50,,,,,522.50,20,,,,20,,
AVON COTTEX,RIB 1/1,MH-4318,1171,12-Mar-26,RUST,,,25.75,,,,,25.75,1,,,,1,,
AVON COTTEX,KORA COLLAR,MH-4347,1187,27-Mar-26,BLACK,,,55.55,,,,,55.55,8,,,,8,,
AVON COTTEX,FABRIC MH LYCRA SINKER,MH-INK,844,17-Jan-25,NEON YELLOW,,,142.1,,,,,142.1,11,,,,11,,
