Job Order No,Date,Fabric,Brand,Shade,Size,Quantity,Unit,Party Name,Garment Type,Section,Season,Emb,Emb Details,Printing,Printing Details,Pattern,Style,Remarks,Direct Stitching,Submitted By,Image URL,Lot Number,Component ,Challan No,Challan Date,Challan Items JSON,Challan History JSON,Challan Total Qty,Challan Complete Lot,Challan By,Challan PDF URL,Priority,Cancellation Timestamp,Cancelled By,Cancellation Approved From,Cancellation Reason,Status,Tape/Lace,Bottom Type,Zip,Sticker,Collar,Bone,FULL BAJU,,FABRIC_SUPERVISOR,PDF Status,PDF Generated Date,PDF Blocked,Order No.,Email Notified At
JO-1383,2026-06-30,MH FLEECE,UNDER ARMOUR,"BLACK [3], 15% [3]","M, L, L, XL,  XXL, 3XL, 3XL, 4XL, 4XL, 5XL",18,SETS,BB,TS - LOWER,GENTS,WINTER,BHM,,NA,,NORMAL FIT,REGULAR,"NORMAL FIT
BELT 2"" PLUS
BACK SIDE 1 POCKET
KAJ - INSIDE
M TO 2XL - 12 SET
3XL TO 5XL - 6 SET",no,JAIN (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=11weR8iuPg657nvwzaLoit10mcOen-yrK,62132,,,,,,,,,,HIGH,,,,,,NO,Elastic and Stopper,YES,NO,NO,NO,NO,,FAIZ,,,,585,6/30/2026
JO-1384,2026-06-30,MH FLEECE,JORDAN,"BLACK [3], 15% [3]","M, L, L, XL,  XXL, 3XL, 3XL, 4XL, 4XL, 5XL",18,SETS,BB,TS - UPPER,GENTS,WINTER,BHM,FRONT,NA,,NORMAL FIT,CROSS HODDIE,"NORMAL FIT
R/NECK HOODIE - KANGROO PKT
CENTER LOGO
M TO 2XL - 12 SET
3XL TO 5XL - 6 SET",no,JAIN (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1RusgWPHLH3ruZnzCJcBDywPY6Tgl_LWQ,62133,,CH-EMB-0896,13 Jul 2026,"{""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""completeLot"":false,""notedAt"":""2026-07-13T12:01:59.851Z""}","[{""number"":""CH-EMB-0896"",""date"":""13 Jul 2026"",""by"":"""",""completeLot"":false,""totalQty"":180,""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""receivedDate"":""2026-07-14T06:28:48.077Z""}]",180,no,,,HIGH,,,,,,NO,,NO,NO,NO,NO,YES,,VIKAS,,,,586,6/30/2026
JO-1385,2026-06-30,MH FLEECE,JORDAN,"BLACK [3], 15% [3]","M, L, L, XL,  XXL, 3XL, 3XL, 4XL, 4XL, 5XL",18,SETS,BB,TS - LOWER,GENTS,WINTER,BHM,,NA,,NORMAL FIT,REGULAR,"NORMAL FIT
BELT 2"" PLUS
BACK SIDE 1 POCKET
KAJ - INSIDE
M TO 2XL - 12 SET
3XL TO 5XL - 6 SET",no,JAIN (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1CoITVftcua_w9zoAodDfdOIKzW_VVA3f,62134,,CH-EMB-0901,14 Jul 2026,"{""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""completeLot"":false,""notedAt"":""2026-07-14T06:28:28.602Z""}","[{""number"":""CH-EMB-0901"",""date"":""14 Jul 2026"",""by"":"""",""completeLot"":false,""totalQty"":180,""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""receivedDate"":""2026-07-14T06:28:49.885Z""}]",180,no,,,HIGH,,,,,,,Elastic and Stopper,YES,NO,NO,NO,NO,,FAIZ,,,,587,6/30/2026
JO-1386,2026-06-30,MH FLEECE,NIKE,"BLACK [3], 15% [3]","M, L, L, XL,  XXL, 3XL, 3XL, 4XL, 4XL, 5XL",18,SETS,BB,TS - UPPER,GENTS,WINTER,BHM,,NA,,NORMAL FIT,CROSS HODDIE,"NORMAL FIT
R/NECK HOODIE - KANGROO PKT
CENTER LOGO
M TO 2XL - 12 SET
3XL TO 5XL - 6 SET",no,JAIN (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1OZmNajBwAtQ4_y2DLJzI2ySpjOucnPEy,62135,,CH-EMB-0897,13 Jul 2026,"{""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""completeLot"":false,""notedAt"":""2026-07-13T13:50:43.872Z""}","[{""number"":""CH-EMB-0897"",""date"":""13 Jul 2026"",""by"":"""",""completeLot"":false,""totalQty"":180,""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""receivedDate"":""2026-07-14T08:50:50.476Z""}]",180,no,,,HIGH,,,,,,NO,,NO,NO,NO,NO,YES,,FAIZ,,,,588,6/30/2026
JO-1387,2026-06-30,MH FLEECE,NIKE,"BLACK [3], 15% [3]","M, L, L, XL,  XXL, 3XL, 3XL, 4XL, 4XL, 5XL",18,SETS,BB,TS - LOWER,GENTS,WINTER,BHM,,NA,,NORMAL FIT,REGULAR,"NORMAL FIT
BELT 2"" PLUS
BACK SIDE 1 POCKET
KAJ - INSIDE
M TO 2XL - 12 SET
3XL TO 5XL - 6 SET",no,JAIN (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1HhihPUUH5s9Jd__oJFFuvSrhEgnZmwpe,62136,,CH-EMB-0898,13 Jul 2026,"{""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""completeLot"":false,""notedAt"":""2026-07-13T13:50:45.296Z""}","[{""number"":""CH-EMB-0898"",""date"":""13 Jul 2026"",""by"":"""",""completeLot"":false,""totalQty"":180,""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""receivedDate"":""2026-07-14T08:50:52.724Z""}]",180,no,,,HIGH,,,,,,NO,Elastic and Stopper,YES,NO,NO,NO,NO,,FAIZ,,,,589,6/30/2026
JO-1388,2026-06-30,MH FLEECE,YOUNGLA,"BLACK [3], 15% [3]","M, L, L, XL,  XXL, 3XL, 3XL, 4XL, 4XL, 5XL",18,SETS,BB,TS - UPPER,GENTS,WINTER,BHM,,NA,,NORMAL FIT,CROSS HODDIE,"NORMAL FIT
R/NECK HOODIE - KANGROO PKT
LEFT SIDE LOGO
M TO 2XL - 12 SET
3XL TO 5XL - 6 SET",no,JAIN (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1BHZy0C1K04E5Wl7hFYz62ToeYYkRxwdt,62137,,CH-EMB-0899,13 Jul 2026,"{""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""completeLot"":false,""notedAt"":""2026-07-13T13:50:47.938Z""}","[{""number"":""CH-EMB-0899"",""date"":""13 Jul 2026"",""by"":"""",""completeLot"":false,""totalQty"":180,""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""receivedDate"":""2026-07-14T08:50:54.716Z""}]",180,no,,,HIGH,,,,,,NO,,NO,NO,NO,NO,YES,,FAIZ,,,,590,6/30/2026
JO-1389,2026-06-30,MH FLEECE,YOUNGLA,"BLACK [3], 15% [3]","M, L, L, XL,  XXL, 3XL, 3XL, 4XL, 4XL, 5XL",18,SETS,BB,TS - LOWER,GENTS,WINTER,BHM,,NA,,NORMAL FIT,REGULAR,"NORMAL FIT
BELT 2"" PLUS
BACK SIDE 1 POCKET
M TO 2XL - 12 SET
3XL TO 5XL - 6 SET",no,JAIN (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1gj2JgaEhvroKxbS3WYKGOLVkxk3JYtux,62138,,CH-EMB-0900,13 Jul 2026,"{""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""completeLot"":false,""notedAt"":""2026-07-13T13:51:04.696Z""}","[{""number"":""CH-EMB-0900"",""date"":""13 Jul 2026"",""by"":"""",""completeLot"":false,""totalQty"":180,""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""receivedDate"":""2026-07-14T08:51:14.820Z""}]",180,no,,,HIGH,,,,,,NO,Elastic and Stopper,YES,NO,NO,NO,NO,,FAIZ,,,,591,6/30/2026
JO-1390,2026-06-30,MH FLEECE,SUPER DRY,"BLACK [3], 15% [3]","M, L, L, XL,  XXL, 3XL, 3XL, 4XL, 4XL, 5XL",18,SETS,BB,TS - UPPER,GENTS,WINTER,BHM,,NA,,NORMAL FIT,CROSS HODDIE,"NORMAL FIT
R/NECK HOODIE - KANGROO PKT
LEFT SIDE LOGO
M TO 2XL - 12 SET
3XL TO 5XL - 6 SET",no,JAIN (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1k1DwsqPT5CW44Qm3DjXzMzSdGlGOwi6t,62139,,CH-EMB-0890,13 Jul 2026,"{""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""completeLot"":false,""notedAt"":""2026-07-13T09:18:52.868Z""}","[{""number"":""CH-EMB-0890"",""date"":""13 Jul 2026"",""by"":"""",""completeLot"":false,""totalQty"":180,""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""receivedDate"":""2026-07-13T13:53:17.019Z""}]",180,no,,,HIGH,,,,,,NO,,NO,NO,NO,NO,YES,,FAIZ,,,,592,6/30/2026
JO-1391,2026-06-30,MH FLEECE,SUPER DRY,"BLACK [3], 15% [3]","M, L, L, XL,  XXL, 3XL, 3XL, 4XL, 4XL, 5XL",18,SETS,BB,TS - LOWER,GENTS,WINTER,BHM,,NA,,NORMAL FIT,REGULAR,"NORMAL FIT
BELT 2"" PLUS
BACK SIDE 1 POCKET
M TO 2XL - 12 SET
3XL TO 5XL - 6 SET",no,JAIN (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1Dx4tPjDcnavYqC6Url_aTSopaK72LUWA,62140,,CH-EMB-0889,13 Jul 2026,"{""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""completeLot"":false,""notedAt"":""2026-07-13T09:18:48.731Z""}","[{""number"":""CH-EMB-0889"",""date"":""13 Jul 2026"",""by"":"""",""completeLot"":false,""totalQty"":180,""items"":[{""shade"":""BLACK [3]"",""qty"":90},{""shade"":""15% [3]"",""qty"":90}],""receivedDate"":""2026-07-13T13:53:15.011Z""}]",180,no,,,HIGH,,,,,,NO,Elastic and Stopper,YES,NO,NO,NO,NO,,FAIZ,,,,593,6/30/2026
JO-1392,2026-06-30,MH FLEECE,RALPH POLO,"BLACK [3], 15% [3]","M, L, L, XL,  XXL, 3XL, 3XL, 4XL, 4XL, 5XL",18,SETS,BB,TS - UPPER,GENTS,WINTER,BHM,,NA,,NORMAL FIT,CROSS HODDIE,"NORMAL FIT
R/NECK HOODIE - KANGROO PKT
LEFT SIDE LOGO
M TO 2XL - 12 SET
3XL TO 5XL - 6 SET",no,JAIN (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1JNL86aW4meP2sg1sdtVBo_Hf2Hd732Bw,62141,,,,,,,,,,HIGH,,,,,,NO,,NO,NO,NO,NO,YES,,FAIZ,,,,594,6/30/2026
