Job Order No,Date,Fabric,Brand,Shade,Size,Quantity,Unit,Party Name,Garment Type,Section,Season,Emb,Emb Details,Printing,Printing Details,Pattern,Style,Remarks,Direct Stitching,Submitted By,Image URL,Lot Number,Component ,Challan No,Challan Date,Challan Items JSON,Challan History JSON,Challan Total Qty,Challan Complete Lot,Challan By,Challan PDF URL,Priority,Cancellation Timestamp,Cancelled By,Cancellation Approved From,Cancellation Reason,Status,Tape/Lace,Bottom Type,Zip,Sticker,Collar,Bone,FULL BAJU,,FABRIC_SUPERVISOR,PDF Status,PDF Generated Date,PDF Blocked,Order No.,Email Notified At
JO-1,2025-08-27,3553,Hoodbyrich,"Black, off-white , olive","M,L,L,XL, XXL",30,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,GOURAV,"FRONT, OTHER:Cap",NA,,SS Pattern,Cross Hoodie,,no,Ravinder,,11028,,CH-EMB-0052,13 Oct 2025,"{""items"":[{""shade"":""BLACK"",""qty"":140},{""shade"":""OFF-WHITE"",""qty"":135},{""shade"":""OLIVE"",""qty"":140}],""completeLot"":false,""notedAt"":""2025-10-13T10:09:25.386Z""}","[{""number"":""CH-EMB-0052"",""date"":""29 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":415,""items"":[{""shade"":""BLACK"",""qty"":140},{""shade"":""OFF-WHITE"",""qty"":135},{""shade"":""OLIVE"",""qty"":140}],""receivedDate"":""2025-10-15T07:26:24.062Z"",""embCompleted"":true,""embUpdatedAt"":""2025-10-15T08:38:37.517Z""}]",415,no,,,,,,,,,abc,abc,Yes,,,,YES,,,,,,YES,
JO-2,2025-08-29,3553,AMIRI,"BLACK,OFFWHITE,OLIVE","M,L,L,XL,XXL",20,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,BHM,FRONT,NA,,SS Pattern,FULL ZIPPER (MONKEY HOOD),,no,RAVINDER,,11029,,CH-EMB-0088,13 Oct 2025,"{""items"":[{""shade"":""BLACK"",""qty"":100},{""shade"":""OFFWHITE"",""qty"":100},{""shade"":""OLIVE"",""qty"":100}],""completeLot"":false,""notedAt"":""2025-11-25T12:47:00.863Z""}","[{""number"":""CH-EMB-0088"",""date"":""13 Oct 2025"",""by"":"""",""completeLot"":false,""totalQty"":300,""items"":[{""shade"":""BLACK"",""qty"":100},{""shade"":""OFFWHITE"",""qty"":100},{""shade"":""OLIVE"",""qty"":100}],""receivedDate"":""2025-10-15T07:26:33.678Z"",""embCompleted"":true,""embUpdatedAt"":""2025-11-22T14:38:14.476Z""}]",300,no,,,,,,,,,yes,blue,no,,,,YES,,,,,,YES,
JO-3,2025-08-30,KT-5060,H&M,"Camel , olive , black",M/ M/ L/ L/ XL/ XXL,30,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,,,,,SS Pattern,SW HOODIE,Urgent ,yes,Mohit Goyal,,11030,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-4,2025-08-30,DESOWE KT,Lacoste,"Black , black , Leaf, butter , mouse",M/L/L/XL/XXL,20,SETS,Mohit Hosiery,TRACK SUIT,GENTS,WINTER,,,,,SS Pattern,Lacoste ka logo lgega sticker ,"Gulla Maching 
Black - leaf 
Black - butter 
Leaf - butter 
Butter- leaf 
Mouse- black",yes,Mohit Goyal,,11031,UPPER,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-4,2025-08-30,DESOWE KT,Lacoste,"Black , black , Leaf, butter , mouse",M/L/L/XL/XXL,20,SETS,Mohit Hosiery,TRACK SUIT,GENTS,WINTER,,,,,SS Pattern,Lacoste ka logo lgega sticker ,"Gulla Maching 
Black - leaf 
Black - butter 
Leaf - butter 
Butter- leaf 
Mouse- black",yes,Mohit Goyal,,11032,LOWER,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-5,2025-08-30,H M LYCRA,NORTH FACE,NAVY/BLACK/KHAKHI/GREEN/BROWN/CREAM/COFFEE,"M,L,L,XL,2XL",16,SETS,Mohit Hosiery,LOWER,GENTS,WINTER,BHM,,,,SS Pattern,,"1.25 INCH LENGHT INCREASE,
.5 WIDTH INCREASE",no,EA,,11033,,CH-EMB-0007,29 Sept 2025,"{""items"":[{""shade"":""NAVY"",""qty"":75},{""shade"":""BLACK"",""qty"":90},{""shade"":""KHAKHI"",""qty"":90},{""shade"":""GREEN"",""qty"":90},{""shade"":""BROWN"",""qty"":90},{""shade"":""CREAM"",""qty"":90},{""shade"":""COFFEE"",""qty"":90}],""completeLot"":false,""notedAt"":""2025-09-29T11:52:32.932Z""}","[{""number"":""CH-EMB-0007"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":615,""items"":[{""shade"":""NAVY"",""qty"":75},{""shade"":""BLACK"",""qty"":90},{""shade"":""KHAKHI"",""qty"":90},{""shade"":""GREEN"",""qty"":90},{""shade"":""BROWN"",""qty"":90},{""shade"":""CREAM"",""qty"":90},{""shade"":""COFFEE"",""qty"":90}],""receivedDate"":""2025-09-20T12:20:40.250Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-20T12:21:12.638Z""}]",615,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-6,2025-08-30,H M LYCRA,NIKE,NAVY/BLACK/KHAKHI/GREEN/BROWN/CREAM/COFFEE,"M,L,L,XL,2XL",16,SETS,Mohit Hosiery,LOWER,GENTS,WINTER,BHM,,,,SS Pattern,,"1.25 INCH LENGHT INCREASE,
.5 WIDHT INCREASE",no,EA,,11034,,CH-EMB-0008,20 Sept 2025,"{""items"":[{""shade"":""NAVY"",""qty"":75},{""shade"":""BLACK"",""qty"":90},{""shade"":""KHAKHI"",""qty"":90},{""shade"":""GREEN"",""qty"":90},{""shade"":""BROWN"",""qty"":90},{""shade"":""CREAM"",""qty"":90},{""shade"":""COFFEE"",""qty"":90}],""completeLot"":false,""notedAt"":""2025-09-20T08:08:00.842Z""}","[{""number"":""CH-EMB-0008"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":615,""items"":[{""shade"":""NAVY"",""qty"":75},{""shade"":""BLACK"",""qty"":90},{""shade"":""KHAKHI"",""qty"":90},{""shade"":""GREEN"",""qty"":90},{""shade"":""BROWN"",""qty"":90},{""shade"":""CREAM"",""qty"":90},{""shade"":""COFFEE"",""qty"":90}],""receivedDate"":""2025-09-20T12:21:23.322Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-20T12:21:32.093Z""}]",615,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-7,2025-08-30,MH GERMAN FLEECE,NORTH FACE,LIGHT COFFEE/TEAL/BLACK/WHITE/15%,"M,L,L,XL,2XL",25,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,BHM,FRONT,,,,FULL ZIPPER (MONKEY HOOD),TAFTA MATCHING PASS KARWA LENA,no,EA,https://drive.google.com/uc?export=download&id=1izYzCYiNCy0QkHxPLPZJoP71DK8lFkgR,11035,,CH-EMB-0019,20 Sept 2025,"{""items"":[{""shade"":""LIGHT COFFEE"",""qty"":130},{""shade"":""TEAL"",""qty"":105},{""shade"":""BLACK"",""qty"":135},{""shade"":""WHITE"",""qty"":125},{""shade"":""15%"",""qty"":130}],""completeLot"":false,""notedAt"":""2025-09-20T08:20:29.126Z""}","[{""number"":""CH-EMB-0019"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":625,""items"":[{""shade"":""LIGHT COFFEE"",""qty"":130},{""shade"":""TEAL"",""qty"":105},{""shade"":""BLACK"",""qty"":135},{""shade"":""WHITE"",""qty"":125},{""shade"":""15%"",""qty"":130}],""receivedDate"":""2025-09-30T13:23:23.893Z"",""embCompleted"":true,""embUpdatedAt"":""2025-10-06T07:44:47.727Z""}]",625,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-8,2025-08-30,MH GERMAN FLEECE,TOMMY HILFIGER,15%/ OFF.WHITE/NAVY/RED/B.GREEN,M/L/L/XL/XXL,30,SETS,Mohit Hosiery,TRACK SUIT,GENTS,WINTER,,,BHM,"FRONT, OTHER:TOMMY LOGO",N/A,,FLAT KHARCHE WALA TOMMY PC,no,EA,https://drive.google.com/uc?export=download&id=1lBhG_1hB6oCavCamDveppmKN0DjbDjKA,11036,UPPER,CH-PRINT-0001,20 Sept 2025,"{""items"":[{""shade"":""15%"",""qty"":150},{""shade"":""OFF.WHITE"",""qty"":150},{""shade"":""NAVY"",""qty"":150},{""shade"":""RED"",""qty"":150},{""shade"":""B.GREEN"",""qty"":150}],""completeLot"":false,""notedAt"":""2025-09-20T08:29:17.525Z""}","[{""number"":""CH-PRINT-0001"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":750,""items"":[{""shade"":""15%"",""qty"":150},{""shade"":""OFF.WHITE"",""qty"":150},{""shade"":""NAVY"",""qty"":150},{""shade"":""RED"",""qty"":150},{""shade"":""B.GREEN"",""qty"":150}],""receivedDate"":""2025-09-20T08:31:44.846Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-23T09:10:13.578Z""}]",750,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-8,2025-08-30,MH GERMAN FLEECE,TOMMY HILFIGER,15%/ OFF.WHITE/NAVY/RED/B.GREEN,M/L/L/XL/XXL,30,SETS,Mohit Hosiery,TRACK SUIT,GENTS,WINTER,,,BHM,"FRONT, OTHER:TOMMY LOGO",N/A,,FLAT KHARCHE WALA TOMMY PC,no,EA,https://drive.google.com/uc?export=download&id=1lBhG_1hB6oCavCamDveppmKN0DjbDjKA,11037,LOWER,CH-PRINT-0002,20 Sept 2025,"{""items"":[{""shade"":""15%"",""qty"":150},{""shade"":""OFF.WHITE"",""qty"":150},{""shade"":""NAVY"",""qty"":150},{""shade"":""RED"",""qty"":150},{""shade"":""B.GREEN"",""qty"":150}],""completeLot"":false,""notedAt"":""2025-09-20T08:29:20.014Z""}","[{""number"":""CH-PRINT-0002"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":750,""items"":[{""shade"":""15%"",""qty"":150},{""shade"":""OFF.WHITE"",""qty"":150},{""shade"":""NAVY"",""qty"":150},{""shade"":""RED"",""qty"":150},{""shade"":""B.GREEN"",""qty"":150}],""receivedDate"":""2025-09-20T08:31:55.782Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-23T09:10:21.033Z""}]",750,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-9,2025-08-30,MH GERMAN FLEECE,TOMMY HILFIGER,NAVY -OFF WHITE/15%-NAVY/RED-NAVY/OFF.WHITE-NAVY/D.COFFEE-BEIGE,"M,L,L,XL,2XL",25,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,NA,,BHM,FRONT,N/A,SW R/N,"RIB KA SIRF GALA,BORDER POUCHI SAME ",no,EA,,11038,,CH-PRINT-0003,20 Sept 2025,"{""items"":[{""shade"":""NAVY -OFF WHITE"",""qty"":125},{""shade"":""15%-NAVY"",""qty"":125},{""shade"":""RED-NAVY"",""qty"":120},{""shade"":""OFF.WHITE-NAVY"",""qty"":125},{""shade"":""D.COFFEE-BEIGE"",""qty"":150}],""completeLot"":false,""notedAt"":""2025-09-20T08:36:22.737Z""}","[{""number"":""CH-PRINT-0003"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":645,""items"":[{""shade"":""NAVY -OFF WHITE"",""qty"":125},{""shade"":""15%-NAVY"",""qty"":125},{""shade"":""RED-NAVY"",""qty"":120},{""shade"":""OFF.WHITE-NAVY"",""qty"":125},{""shade"":""D.COFFEE-BEIGE"",""qty"":150}],""receivedDate"":""2025-09-20T08:41:32.910Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-20T08:46:33.859Z""}]",645,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-10,2025-08-30,MH  GERMAN FLEECE,COACH,"NEW COFFEE-LIGHT OLIVE,BLACK-NEW COFFEE/15%-NAVY/BEIGE-NEW COFFEE/OFF WHITE-B.GREEN/CREAM-LIGHT GREEN","M,L,L,XL,2XL",25,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,NA,,BHM,FRONT,N/A,SW R/N,"ROUND NECK CONTRANST COLLAR ,RIB ON NECK,COLLAR PUNCHI SAME FABRIC",no,EA,,11039,,CH-PRINT-0004,20 Sept 2025,"{""items"":[{""shade"":""NEW COFFEE-LIGHT OLIVE"",""qty"":130},{""shade"":""BLACK-NEW COFFEE"",""qty"":135},{""shade"":""15%-NAVY"",""qty"":120},{""shade"":""BEIGE-NEW COFFEE"",""qty"":125},{""shade"":""OFF WHITE-B.GREEN"",""qty"":120},{""shade"":""CREAM-LIGHT GREEN"",""qty"":130}],""completeLot"":false,""notedAt"":""2025-09-20T08:36:49.361Z""}","[{""number"":""CH-PRINT-0004"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":760,""items"":[{""shade"":""NEW COFFEE-LIGHT OLIVE"",""qty"":130},{""shade"":""BLACK-NEW COFFEE"",""qty"":135},{""shade"":""15%-NAVY"",""qty"":120},{""shade"":""BEIGE-NEW COFFEE"",""qty"":125},{""shade"":""OFF WHITE-B.GREEN"",""qty"":120},{""shade"":""CREAM-LIGHT GREEN"",""qty"":130}],""receivedDate"":""2025-09-20T08:41:58.334Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-20T12:23:31.432Z""}]",760,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-11,2025-08-30,MH GERMAN FLEECE,HOOD RICH,15%-WHITE/LIGHT COFFEE-BLACK/BLACK-LIGHT COFFEE/BLACK-LIGHT OLIVE/MOOV-WHITE/AIRFORCE-WHITE/OFF WHITE-R.GREEN/CREAM-LIGHT COFFEE,"M,L,L,XL,2XL",25,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,NA,,BHM,FRONT,N/A,SW R/N,"NECK CONTRAST ,BORDER POUNCHI SAME.",no,EA,,11040,,CH-PRINT-0005,20 Sept 2025,"{""items"":[{""shade"":""15%-WHITE"",""qty"":125},{""shade"":""LIGHT COFFEE-BLACK"",""qty"":135},{""shade"":""BLACK-LIGHT COFFEE"",""qty"":125},{""shade"":""BLACK-LIGHT OLIVE"",""qty"":125},{""shade"":""MOOV-WHITE"",""qty"":125},{""shade"":""AIRFORCE-WHITE"",""qty"":125},{""shade"":""OFF WHITE-R.GREEN"",""qty"":120},{""shade"":""CREAM-LIGHT COFFEE"",""qty"":105}],""completeLot"":false,""notedAt"":""2025-09-20T08:38:12.868Z""}","[{""number"":""CH-PRINT-0005"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":985,""items"":[{""shade"":""15%-WHITE"",""qty"":125},{""shade"":""LIGHT COFFEE-BLACK"",""qty"":135},{""shade"":""BLACK-LIGHT COFFEE"",""qty"":125},{""shade"":""BLACK-LIGHT OLIVE"",""qty"":125},{""shade"":""MOOV-WHITE"",""qty"":125},{""shade"":""AIRFORCE-WHITE"",""qty"":125},{""shade"":""OFF WHITE-R.GREEN"",""qty"":120},{""shade"":""CREAM-LIGHT COFFEE"",""qty"":105}],""receivedDate"":""2025-09-20T08:41:48.302Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-20T08:45:40.922Z""}]",985,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-12,2025-08-30,FANCY CLOTH DIOR,DIOR,COFFEE/BLACK/FAWN/BLACK,"M,L,L,XL,2XL",4,ROLLS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,,,,,N/A,FULL ZIPPER (MONKEY HOOD),MONKEY HOOF FULL ZIPPER,yes,EA,,11041,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-13,2025-08-30,FANCY CLOTH DIOR,DIOR,COFFEE/BLACK/BLACK/FAWN,"M,L,L,XL,2XL",4,ROLLS,Mohit Hosiery,HIGH NECK ,GENTS,WINTER,,,,,N/A,,HIGH NECK SWEAT SHIRT,yes,EA,,11042,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-14,2025-08-30,WONDER CHECK,--,BLACK-FAWN/TAN-CREAM/GREY-GREEN/GREEN-TAN/CREAM -GREY/FAWN-BLACK,"M,L,L,XL,2XL",25,SETS,Mohit Hosiery,HIGH NECK,GENTS,WINTER,BHM,,BHM,Brown and grey back printing,NA,,HIGH NECK CONTRAST.ROLL KHATAM KARNE HAI SARE. ,no,EA,,11043,,CH-EMB-0001,19 Sept 2025,"{""items"":[{""shade"":""BLACK-FAWN"",""qty"":125},{""shade"":""TAN-CREAM"",""qty"":125},{""shade"":""GREY-GREEN"",""qty"":125},{""shade"":""GREEN-TAN"",""qty"":125},{""shade"":""CREAM -GREY"",""qty"":125},{""shade"":""FAWN-BLACK"",""qty"":125}],""completeLot"":false,""notedAt"":""2025-09-19T09:21:28.660Z""}","[{""number"":""CH-EMB-0001"",""date"":""19 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":750,""items"":[{""shade"":""BLACK-FAWN"",""qty"":125},{""shade"":""TAN-CREAM"",""qty"":125},{""shade"":""GREY-GREEN"",""qty"":125},{""shade"":""GREEN-TAN"",""qty"":125},{""shade"":""CREAM -GREY"",""qty"":125},{""shade"":""FAWN-BLACK"",""qty"":125}],""receivedDate"":""2025-09-19T11:02:30.815Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-29T10:10:01.604Z""}]",750,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-15,2025-09-02,Baby fleece,adidas bricks,"15%, black,black,new coffee, navy,d.green,d.grey,BEIGE",m/l/l/xl/xxl,25,SETS,Mohit Hosiery,LOWER,GENTS,WINTER,BHM,FRONT,NA,,"Jogger with bottom rib article , boarder and punchi rib ki",Jogger Mohit hosiery pattern,"15%—grey
Black-black
Black-grey
Coffe-off white
D.grey-offwhite
D.green-offwhite,  navy-offwhite",no,Mohit Goyal,https://drive.google.com/uc?export=download&id=1SkBYRqS1uM0W17GcPi6NTsqenc1Ha78_,11044,,CH-EMB-0047,27 Sept 2025,"{""items"":[{""shade"":""15%"",""qty"":145},{""shade"":""BLACK"",""qty"":300},{""shade"":""NEW COFFEE"",""qty"":150},{""shade"":""NAVY"",""qty"":150},{""shade"":""D.GREEN"",""qty"":150},{""shade"":""D.GREY"",""qty"":150},{""shade"":""BEIGE"",""qty"":150}],""completeLot"":false,""notedAt"":""2025-09-27T12:57:25.876Z""}","[{""number"":""CH-EMB-0047"",""date"":""27 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":1195,""items"":[{""shade"":""15%"",""qty"":145},{""shade"":""BLACK"",""qty"":300},{""shade"":""NEW COFFEE"",""qty"":150},{""shade"":""NAVY"",""qty"":150},{""shade"":""D.GREEN"",""qty"":150},{""shade"":""D.GREY"",""qty"":150},{""shade"":""BEIGE"",""qty"":150}],""receivedDate"":""2025-09-27T12:57:42.264Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-27T13:03:41.667Z""}]",1195,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-16,2025-09-03,mh german fleece,under armour,"black,15%,d.grey,coffee,black,olive,BEIGE","M,L,L,XL,2XL",25,SETS,Mohit Hosiery,LOWER,GENTS,WINTER,BHM,FRONT,NA,,SS Pattern,,"TAPE MATCHING
1. BLACK -BLACK
2.15%-D.GREY
3.D.GREY-BLACK
4.COFFEE-OFF.WHITE
5. BLACK-GREY
6.OLIVE-OFF.WHITE

NECHE FOLDING KAPDE KA BORDER.",no,EA,,11045,,CH-EMB-0053,29 Sept 2025,"{""items"":[{""shade"":""BLACK"",""qty"":285},{""shade"":""15%"",""qty"":120},{""shade"":""D.GREY"",""qty"":125},{""shade"":""COFFEE"",""qty"":140},{""shade"":""OLIVE"",""qty"":125},{""shade"":""BEIGE"",""qty"":120}],""completeLot"":false,""notedAt"":""2025-09-29T12:21:16.241Z""}","[{""number"":""CH-EMB-0053"",""date"":""29 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":915,""items"":[{""shade"":""BLACK"",""qty"":285},{""shade"":""15%"",""qty"":120},{""shade"":""D.GREY"",""qty"":125},{""shade"":""COFFEE"",""qty"":140},{""shade"":""OLIVE"",""qty"":125},{""shade"":""BEIGE"",""qty"":120}],""embCompleted"":true,""embUpdatedAt"":""2025-09-29T12:21:26.443Z"",""receivedDate"":""2025-09-29T12:21:23.645Z""}]",915,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-17,2025-09-03,SUEDE,R.L.POLO,"FAWN,COFFEE,TAN,DARK TAN,BLACK",M/M/L/L/XL/2XL,20,SETS,Mohit Hosiery,JACKET,GENTS,WINTER,,,,,NEW SWED PATTERN,,"1.BLACK (HALF)
2. ADD CUFF ON SLEEVES.
3. BACK CHANGE",yes,EA,https://drive.google.com/uc?export=download&id=1Hb_M71Trd8XOcbO-qrv3YuTVYwTLkoKG,73001,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-18,2025-09-03,SUEDE,ZARA,"FAWN,COFFEE,TAN,DARK TAN,BLACK",M/L/XL/2XL,20,SETS,Mohit Hosiery,JACKET,GENTS,WINTER,,,,,REGULAR PATTERN,,"1.BLACK (HALF)
2. ADD CUFF ON SLEEVES.
",yes,EA,https://drive.google.com/uc?export=download&id=1Hb_M71Trd8XOcbO-qrv3YuTVYwTLkoKG,73002,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-19,2025-09-03,German fleece,hoodrich,"sky,rust,light coffee,new coffee,15%,c.green,airforce,off white,black,navy",M/L/L/XL/XXL,25,SETS,Mohit Hosiery,FULL ZIPPER HOOD,GENTS,WINTER,,,BHM,"FRONT, BACK",MH Pattern,Zipper hood,,no,Mohit Goyal,,11046,,,,,,,,,,,2025-09-16T11:02:46.041Z,EA,Mohit JI,Double Order,Cancel,,,,,,,YES,,,,,,YES,
JO-20,2025-09-03,MH IMORTED,ZARA,"RANI,WHITE,DGREY,BLACK,MOUSE,SKY,BGREEN,CAMEL,COFFEE,DGREEN,ROYAL,GOLD",M/L/L/XL/XXL,3,ROLLS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,,,,,SS Pattern,DROP SHOULDER,DROP SHOULDER HOODIE SS PATTERN,yes,Mohit Goyal,,11047,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-21,2025-09-03,MH GERMAN  FLEECE,UNIQLO,"RUST, 15%, MAUVE, SEAGREEN, MEHANDI, D.COFFEE, D.GREEN , BOTTAL GREEN , BLACK, OLIVE , RED, BEIGE,NAVY","M , L , XL , XXL",12,SETS,Imran,SWEATSHIRT,GENTS,WINTER,,,,,NA,ROUND HOOD,,yes,EA (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1Wd9Mpi0WFDjKKWROaA-Zgs5-UQXllbPw,64001,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-22,2025-09-03,MH GERMAN  FLEECE,UNIQLO,"RUST, 15%, MAUVE, MEHNDI,SEA GREEN, D.COFFEE,D.GREEN,BOTTLE GREEN, BLACK,OLIVE,RED, BEIGE,NAVY","M , L , XL , XXL",12,SETS,Imran,SWEATSHIRT,GENTS,WINTER,,,,,NA,FULL ZIPPER (MONKEY HOOD),,yes,EA (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1Wd9Mpi0WFDjKKWROaA-Zgs5-UQXllbPw,64002,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-23,2025-09-03,BONDED (SOUTH POLE),PUMA,"FAWN (CHOCOLATE), SILVER (BLACK), OLIVE (BLACK), BLACK (MOUSE), CHOCOLATE (BLACK)","M , L , XL , XXL",12,SETS,Imran,SWEATSHIRT,GENTS,WINTER,BHM,FRONT,NA,OTHER:NA,NA,SW HOODIE,18 EMB OF PUMA ON CHEST,no,EA (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1R3tBAYcwc-MsXOxFUd2vuGXFWZ7Ew8rH,64003,,CH-EMB-0002,19 Sept 2025,"{""items"":[{""shade"":""FAWN (CHOCOLATE)"",""qty"":48},{""shade"":""SILVER (BLACK)"",""qty"":48},{""shade"":""OLIVE (BLACK)"",""qty"":48},{""shade"":""BLACK (MOUSE)"",""qty"":48},{""shade"":""CHOCOLATE (BLACK)"",""qty"":48}],""completeLot"":false,""notedAt"":""2025-09-19T09:24:41.297Z""}","[{""number"":""CH-EMB-0002"",""date"":""19 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":240,""items"":[{""shade"":""FAWN (CHOCOLATE)"",""qty"":48},{""shade"":""SILVER (BLACK)"",""qty"":48},{""shade"":""OLIVE (BLACK)"",""qty"":48},{""shade"":""BLACK (MOUSE)"",""qty"":48},{""shade"":""CHOCOLATE (BLACK)"",""qty"":48}],""receivedDate"":""2025-09-19T11:02:14.279Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-20T08:22:12.892Z""}]",240,no,,,,,,,,,,,,,,,,,,,,,,
JO-24,2025-09-03,(SOUTH POLE),COLUMBIA,"CHOCOLATE, BOTTLE GREEN, SILVER, FAWN, GREY","L , XL , XL , XXL",12,SETS,Imran,SWEATSHIRT,GENTS,WINTER,BHM,FRONT,NA,,NA,,"SLEEVLESS SWEAT SHIRT ,T.NECK",no,EA (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1urHy2K4VKnBcc8DBdB5CFTYclzSQXj9I,64004,,CH-EMB-0009,20 Sept 2025,"{""items"":[{""shade"":""CHOCOLATE"",""qty"":56},{""shade"":""BOTTLE GREEN"",""qty"":52},{""shade"":""SILVER"",""qty"":60},{""shade"":""FAWN"",""qty"":44},{""shade"":""GREY"",""qty"":52}],""completeLot"":false,""notedAt"":""2025-09-20T08:09:48.671Z""}","[{""number"":""CH-EMB-0009"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":264,""items"":[{""shade"":""CHOCOLATE"",""qty"":56},{""shade"":""BOTTLE GREEN"",""qty"":52},{""shade"":""SILVER"",""qty"":60},{""shade"":""FAWN"",""qty"":44},{""shade"":""GREY"",""qty"":52}],""embCompleted"":true,""embUpdatedAt"":""2025-09-20T08:12:10.169Z"",""receivedDate"":""2025-09-20T08:12:11.734Z""}]",264,no,,,,,,,,,,,,,,,,,,,,,,
JO-25,2025-09-03,(SOUTH POLE),NORTH FACE,"CHOCOLATE, BOTTLE GREEN, SILVER, FAWN, GREY","L , XL , XL , XXL",12,SETS,Imran,SWEATSHIRT,GENTS,WINTER,BHM,FRONT,NA,,NA,,"SLEEVLESS SWEAT SHIRT ,T.NECK",no,EA (Order Referred By Mohit Goyal),https://drive.google.com/uc?export=download&id=1urHy2K4VKnBcc8DBdB5CFTYclzSQXj9I,64005,,CH-EMB-0055,30 Sept 2025,"{""items"":[{""shade"":""CHOCOLATE"",""qty"":64},{""shade"":""FAWN"",""qty"":72},{""shade"":""BLACK"",""qty"":60},{""shade"":""LEAF"",""qty"":60},{""shade"":""D.GREEN"",""qty"":64}],""completeLot"":false,""notedAt"":""2025-09-30T06:48:59.211Z""}","[{""number"":""CH-EMB-0055"",""date"":""30 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":320,""items"":[{""shade"":""CHOCOLATE"",""qty"":64},{""shade"":""FAWN"",""qty"":72},{""shade"":""BLACK"",""qty"":60},{""shade"":""LEAF"",""qty"":60},{""shade"":""D.GREEN"",""qty"":64}],""receivedDate"":""2025-09-30T13:23:38.437Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-30T13:23:46.844Z""}]",320,no,,,,,,,,,,,,,,,,,,,,,,
